Escuela;Ingeniería De Software;;;;;;;;
Plan;Plan 2023;;;;;;;;
Ciclo;Tipo;Codigo;Nombre;HT;HP;HL;Creditos;Prerequisito;
7;O;202SW0705; INTELIGENCIA ARTIFICIAL;2;2;0;3.0;202SW0501 - ANÁLISIS Y DISEÑO DE ALGORITMOS;
7;O;202SW0705; INTELIGENCIA ARTIFICIAL;2;2;0;3.0;202SW0601 - BASE DE DATOS II;
7;O;202SW0706; PRUEBAS DE SOFTWARE;3;2;0;4.0;202SW0602 - CALIDAD DE SOFTWARE;
7;O;202SW0706; PRUEBAS DE SOFTWARE;3;2;0;4.0;202SW0603 - DISEÑO DE SOFTWARE;
7;O;202SW0707; REDES Y TRANSMISIÓN DE DATOS;2;2;0;3.0;202SW0607 - SISTEMAS OPERATIVOS;
8;O;202SW0801; AUTOMATIZACIÓN Y CONTROL DE SOFTWARE;2;2;0;3.0;202SW0707 - REDES Y TRANSMISIÓN DE DATOS;
8;O;202SW0802; INTELIGENCIA DE NEGOCIOS;2;2;0;3.0;202SW0501 - ANÁLISIS Y DISEÑO DE ALGORITMOS;
8;O;202SW0802; INTELIGENCIA DE NEGOCIOS;2;2;0;3.0;202SW0601 - BASE DE DATOS II;
8;O;202SW0803; METODOLOGÍA DE LA INVESTIGACIÓN;2;2;0;3.0;202SW0701 - ARQUITECTURA DE SOFTWARE;
8;O;202SW0803; METODOLOGÍA DE LA INVESTIGACIÓN;2;2;0;3.0;202SW0705 - INTELIGENCIA ARTIFICIAL;
8;O;202SW0804; MINERÍA DE DATOS;2;2;0;3.0;202SW0601 - BASE DE DATOS II;
8;O;202SW0805; PROGRAMACIÓN CONCURRENTE Y PARALELA;2;2;0;3.0;202SW0607 - SISTEMAS OPERATIVOS;
8;O;202SW0806; TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;2;2;0;3.0;202SW0701 - ARQUITECTURA DE SOFTWARE;
8;O;202SW0806; TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;2;2;0;3.0;202SW0601 - BASE DE DATOS II;
8;O;202SW0807; ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE;2;2;0;3.0;202SW0602 - CALIDAD DE SOFTWARE;
9;O;202SW0901; DESARROLLO DE TESIS I;4;0;0;4.0;202SW0803 - METODOLOGÍA DE LA INVESTIGACIÓN;
9;O;202SW0902; GESTIÓN DE RIESGO DEL SOFTWARE;2;2;0;3.0;202SW0605 - GESTIÓN DE PROYECTO DE SOFTWARE;
9;O;202SW0903; GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN;2;2;0;3.0;202SW0605 - GESTIÓN DE PROYECTO DE SOFTWARE;
9;O;202SW0904; SEGURIDAD DEL SOFTWARE;2;2;0;3.0;202SW0707 - REDES Y TRANSMISIÓN DE DATOS;
9;O;202SW0905; INTERNET DE LAS COSAS;2;2;0;3.0;202SW0801 - AUTOMATIZACIÓN Y CONTROL DE SOFTWARE;
9;O;202SW0906; TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;2;2;0;3.0;202SW0806 - TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;
9;O;202SW0907; SOFTWARE INTELIGENTE;2;2;0;3.0;202SW0705 - INTELIGENCIA ARTIFICIAL;
10;O;202SW1001; ANALÍTICA DE DATOS;2;2;0;3.0;202SW0802 - INTELIGENCIA DE NEGOCIOS;
10;O;202SW1001; ANALÍTICA DE DATOS;2;2;0;3.0;202SW0907 - SOFTWARE INTELIGENTE;
10;O;202SW1002; DESARROLLO DE TESIS II;4;0;0;4.0;202SW0901 - DESARROLLO DE TESIS I;
10;O;202SW1003; PRÁCTICA PRE PROFESIONAL;4;0;0;4.0;202SW0806 - TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;
10;O;202SW1004; TALLER DE APLICACIONES SOCIALES;2;2;0;3.0;202SW0907 - SOFTWARE INTELIGENTE;
10;O;202SW1005; INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO;2;2;0;3.0;202SW0906 - TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;
10;O;202SW1006; TENDENCIAS EN INGENIERÍA DE SOFTWARE;2;2;0;3.0;202SW0903 - GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN;
