Escuela;Ingeniería De Sistemas;;;;;;;;;;;;
Plan;Plan 2023;;;;;;;;;;;;
Ciclo;Tipo;Codigo;Nombre;HT;HP;HL;Creditos;Prerequisito;;;;;
8;O;201230805;GESTIÓN DE PROYECTOS DE TI;2;2;2;3.0;201230704 - INTELIGENCIA DE NEGOCIOS;;;;;
8;O;201230806;METODOLOGÍA DE LA INVESTIGACIÓN;3;0;0;3.0;201230702 - DESARROLLO DE APLICACIONES WEB;;;;;
9;O;201230901;ARQUITECTURA EMPRESARIAL;2;2;0;3.0;201230803 - SISTEMAS DISTRIBUIDOS;;;;;
9;O;201230902;GESTIÓN DE PROCESOS DE NEGOCIO;2;2;0;3.0;201230802 - DESARROLLO DE APLICACIONES MÓVILES;;;;;
9;O;201230903;MINERÍA DE DATOS;2;0;2;3.0;201230705 - GESTIÓN DE DATOS MASIVOS;;;;;
9;O;201230904;AUDITORÍA DE SISTEMAS;2;2;0;3.0;201230805 - GESTIÓN DE PROYECTOS DE TI;;;;;
9;O;201230905;SEGURIDAD DE LA INFORMACIÓN;2;2;0;3.0;201230706 - INTERNET DE LAS COSAS;;;;;
9;O;201230906;PROYECTO DE TESIS I;3;0;0;3.0;201230806 - METODOLOGÍA DE LA INVESTIGACIÓN;;;;;
10;O;201231001;GESTIÓN DE TECNOLOGÍAS DE INFORMACIÓN;2;2;0;3.0;201230901 - ARQUITECTURA EMPRESARIAL;;;;;
10;O;201231002;ARQUITECTURA DE SERVICIOS;2;2;0;3.0;201230902 - GESTIÓN DE PROCESOS DE NEGOCIO;;;;;
10;O;201231003;TENDENCIAS EN SISTEMAS DE INFORMACIÓN;3;0;0;3.0;201230903 - MINERÍA DE DATOS;;;;;
10;O;201231004;PROYECTO DE FIN DE CARRERA;1;4;0;3.0;201230904 - AUDITORÍA DE SISTEMAS;;;;;
10;O;201231005;ÉTICA PROFESIONAL Y EMPRENDIMIENTO;2;2;0;3.0;201230905 - SEGURIDAD DE LA INFORMACIÓN;;;;;
10;O;201231006;PROYECTO DE TESIS II;3;0;0;3.0;201230906 - PROYECTO DE TESIS I;;;;;
